,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,upper,upper,lower,lower
"(1800.0, 41400.0)",150.0,294.15,292.15,280.15,0.019945181037910223,41400.0,0.0,,,,,,,,,,,,294.1500119420027,303.15,288.15,0.019945167052376523,0.05,0.0,,,,,,,,,,,,
"(1800.0, 41590.19237886467)",,,,,,,,,,,,,,,,,,,293.90909303788175,303.15,288.15,,,,0.0,1.2411873729976162e-05,inf,inf,-inf,-inf,293.90909303788175,0.27442740912943275,inf,inf,-inf,-inf
"(1800.0, 42109.80762113533)",,,,,,,,,,,,,,,,,,,293.29440197028555,303.15,288.15,,,,0.0,1.2411817984054803e-05,inf,inf,-inf,-inf,293.29440197028555,0.26216729310070214,inf,inf,-inf,-inf
"(1800.0, 42300.0)",150.0,294.15,292.15,280.15,7.147236777557168e-08,42300.0,0.0,,,,,,,,,,,,293.0853357819669,303.15,288.15,7.147238308382877e-08,0.05,0.0,,,,,,,,,,,,
"(1800.0, 42490.19237886467)",,,,,,,,,,,,,,,,,,,293.37062257250847,303.15,288.15,,,,0.0,1.241182643382674e-05,inf,inf,-inf,-inf,293.37062257250847,9.449093879666269e-07,inf,inf,-inf,-inf
"(1800.0, 43009.80762113533)",,,,,,,,,,,,,,,,,,,294.15004038129075,303.15,288.15,,,,0.0,3.8669684106035125e-05,inf,inf,-inf,-inf,294.15004038129075,1.0006162363960396e-06,inf,inf,-inf,-inf
"(1800.0, 43200.0)",,,,,,,,,,,,,,,,,,,294.4353270271015,303.15,288.15,,,,,,,,,,,,,,,
"(2700.0, 0.0)",150.0,294.15,292.15,280.15,0.01156565702601148,0.0,0.0,1000.0,100000.0,250.0,1.0,900.0,7200.0,900.0,10.0,294.1729389016466,0.01156565702601148,0.0,294.17293912962487,303.15,288.15,0.011562587104282164,0.05,0.0,,,,,,,,,,,,
"(2700.0, 190.19237886466843)",,,,,,,,,,,,,,,,,,,294.1501079594327,303.15,288.15,,,,0.0,0.00010543021737050908,inf,inf,-inf,-inf,294.1501079594327,0.16187746776313464,inf,inf,-inf,-inf
"(2700.0, 709.8076211353316)",,,,,,,,,,,,,,,,,,,294.0901907814453,303.15,288.15,,,,0.0,6.662051784458104e-06,inf,inf,-inf,-inf,294.0901907814453,0.16118467020710953,inf,inf,-inf,-inf
"(2700.0, 900.0)",150.0,294.15,292.15,280.15,0.010098461467753448,900.0,0.0,,,,,,,,,,,,294.0691595331041,303.15,288.15,0.030981415382699398,0.05,0.0,,,,,,,,,,,,
"(2700.0, 1090.1923788646684)",,,,,,,,,,,,,,,,,,,293.5510483116467,303.15,288.15,,,,0.0,6.6617215432275715e-06,inf,inf,-inf,-inf,293.5510483116467,0.41518344426717235,inf,inf,-inf,-inf
"(2700.0, 1609.8076211353316)",,,,,,,,,,,,,,,,,,,292.2757649253606,303.15,288.15,,,,0.0,6.661857224733089e-06,inf,inf,-inf,-inf,292.2757649253606,0.3756733599763371,inf,inf,-inf,-inf
"(2700.0, 1800.0)",150.0,294.15,292.15,280.15,0.01071459258515894,1800.0,0.0,,,,,,,,,,,,291.86030391400766,303.15,288.15,-9.55237628302694e-09,0.05,0.0,,,,,,,,,,,,
"(2700.0, 1990.1923788646684)",,,,,,,,,,,,,,,,,,,292.1455926976478,303.15,288.15,,,,0.0,0.0044043909430863245,inf,inf,-inf,-inf,292.1455926976478,-1.1458641518586226e-07,inf,inf,-inf,-inf
"(2700.0, 2509.807621135332)",,,,,,,,,,,,,,,,,,,292.9250161758061,303.15,288.15,,,,0.0,6.661715389842775e-06,inf,inf,-inf,-inf,292.9250161758061,-1.2203176153305586e-07,inf,inf,-inf,-inf
"(2700.0, 2700.0)",150.0,294.15,292.15,280.15,0.010714171695774478,2700.0,0.0,,,,,,,,,,,,293.21030497878945,303.15,288.15,0.01149568830872077,0.05,0.0,,,,,,,,,,,,
"(2700.0, 2890.1923788646686)",,,,,,,,,,,,,,,,,,,293.2100469749238,303.15,288.15,,,,0.0,6.661713179445996e-06,inf,inf,-inf,-inf,293.2100469749238,0.1501342293209754,inf,inf,-inf,-inf
"(2700.0, 3409.807621135332)",,,,,,,,,,,,,,,,,,,293.20936972608314,303.15,288.15,,,,0.0,6.661713175823155e-06,inf,inf,-inf,-inf,293.20936972608314,0.1501264438793961,inf,inf,-inf,-inf
"(2700.0, 3600.0)",150.0,294.15,292.15,280.15,0.010714318930537663,3600.0,0.0,,,,,,,,,,,,293.2091319493877,303.15,288.15,0.011485970808953397,0.05,0.0,,,,,,,,,,,,
"(2700.0, 3790.1923788646686)",,,,,,,,,,,,,,,,,,,293.20913795151466,303.15,288.15,,,,0.0,6.661713174592887e-06,inf,inf,-inf,-inf,293.20913795151466,0.14999687730119296,inf,inf,-inf,-inf
"(2700.0, 4309.807621135332)",,,,,,,,,,,,,,,,,,,293.209153707357,303.15,288.15,,,,0.0,6.661713174676363e-06,inf,inf,-inf,-inf,293.209153707357,0.14999705827233836,inf,inf,-inf,-inf
"(2700.0, 4500.0)",150.0,294.15,292.15,280.15,0.010714282506191417,4500.0,0.0,,,,,,,,,,,,293.20915923930676,303.15,288.15,0.01148617754897071,0.05,0.0,,,,,,,,,,,,
"(2700.0, 4690.192378864668)",,,,,,,,,,,,,,,,,,,293.2091595746835,303.15,288.15,,,,0.0,6.661713174707458e-06,inf,inf,-inf,-inf,293.2091595746835,0.14999982551515603,inf,inf,-inf,-inf
"(2700.0, 5209.807621135332)",,,,,,,,,,,,,,,,,,,293.2091604550614,303.15,288.15,,,,0.0,6.661713174712121e-06,inf,inf,-inf,-inf,293.2091604550614,0.14999983562733268,inf,inf,-inf,-inf
"(2700.0, 5400.0)",150.0,294.15,292.15,280.15,0.010714292473816568,5400.0,0.0,,,,,,,,,,,,293.2091607641656,303.15,288.15,0.011487023399085227,0.05,0.0,,,,,,,,,,,,
"(2700.0, 5590.192378864668)",,,,,,,,,,,,,,,,,,,293.2091402935851,303.15,288.15,,,,0.0,6.661713174605295e-06,inf,inf,-inf,-inf,293.2091402935851,0.15001065012434886,inf,inf,-inf,-inf
"(2700.0, 6109.807621135332)",,,,,,,,,,,,,,,,,,,293.20908655762076,303.15,288.15,,,,0.0,6.661713174320744e-06,inf,inf,-inf,-inf,293.20908655762076,0.15001003285806908,inf,inf,-inf,-inf
"(2700.0, 6300.0)",150.0,294.15,292.15,280.15,0.010714289820238466,6300.0,0.0,,,,,,,,,,,,293.2090676907448,303.15,288.15,0.011449770040008913,0.05,0.0,,,,,,,,,,,,
"(2700.0, 6490.192378864668)",,,,,,,,,,,,,,,,,,,293.2099641538709,303.15,288.15,,,,0.0,6.6617131790007206e-06,inf,inf,-inf,-inf,293.2099641538709,0.14953358629258137,inf,inf,-inf,-inf
"(2700.0, 7009.807621135332)",,,,,,,,,,,,,,,,,,,293.21231769880285,303.15,288.15,,,,0.0,6.661713191897226e-06,inf,inf,-inf,-inf,293.21231769880285,0.14956053384083146,inf,inf,-inf,-inf
"(2700.0, 7200.0)",150.0,294.15,292.15,280.15,0.010714290531891022,7200.0,0.0,,,,,,,,,,,,293.2131441501445,303.15,288.15,0.01259334365882573,0.05,0.0,,,,,,,,,,,,
"(2700.0, 7390.192378864668)",,,,,,,,,,,,,,,,,,,293.1858901298199,303.15,288.15,,,,0.0,6.661713075862947e-06,inf,inf,-inf,-inf,293.1858901298199,0.16416544430351648,inf,inf,-inf,-inf
"(2700.0, 7909.807621135332)",,,,,,,,,,,,,,,,,,,293.1146162927404,303.15,288.15,,,,0.0,6.661713074253547e-06,inf,inf,-inf,-inf,293.1146162927404,0.1632678683792909,inf,inf,-inf,-inf
"(2700.0, 8100.0)",150.0,294.15,292.15,280.15,0.01071429034141221,8100.0,0.0,,,,,,,,,,,,293.089694243072,303.15,288.15,-9.624901531020279e-09,0.05,0.0,,,,,,,,,,,,
"(2700.0, 8290.192378864669)",,,,,,,,,,,,,,,,,,,293.3749830508521,303.15,288.15,,,,0.0,6.6617153898251625e-06,inf,inf,-inf,-inf,293.3749830508521,-1.272891596138641e-07,inf,inf,-inf,-inf
"(2700.0, 8809.807621135331)",,,,,,,,,,,,,,,,,,,294.1544065951627,303.15,288.15,,,,0.0,0.004403663755360698,inf,inf,-inf,-inf,294.1544065951627,-1.3479103447881195e-07,inf,inf,-inf,-inf
"(2700.0, 9000.0)",150.0,294.15,292.15,280.15,0.010714290392423111,9000.0,0.0,,,,,,,,,,,,294.4396954224329,303.15,288.15,0.021387747727799895,0.05,0.0,,,,,,,,,,,,
"(2700.0, 9190.192378864669)",,,,,,,,,,,,,,,,,,,294.1500170877683,303.15,288.15,,,,0.0,1.7189320904331446e-05,inf,inf,-inf,-inf,294.1500170877683,0.29942883365807577,inf,inf,-inf,-inf
"(2700.0, 9709.807621135331)",,,,,,,,,,,,,,,,,,,293.41443611841765,303.15,288.15,,,,0.0,6.661716362428486e-06,inf,inf,-inf,-inf,293.41443611841765,0.28369641345223434,inf,inf,-inf,-inf
"(2700.0, 9900.0)",150.0,294.15,292.15,280.15,0.010714290378763846,9900.0,0.0,,,,,,,,,,,,293.1656318104365,303.15,288.15,0.0030070124488495976,0.05,0.0,,,,,,,,,,,,
"(2700.0, 10090.192378864669)",,,,,,,,,,,,,,,,,,,293.3758750179565,303.15,288.15,,,,0.0,6.661715409678012e-06,inf,inf,-inf,-inf,293.3758750179565,0.039770370825924196,inf,inf,-inf,-inf
"(2700.0, 10609.807621135331)",,,,,,,,,,,,,,,,,,,293.9442049250756,303.15,288.15,,,,0.0,6.66178899509106e-06,inf,inf,-inf,-inf,293.9442049250756,0.04147934593168481,inf,inf,-inf,-inf
"(2700.0, 10800.0)",150.0,294.15,292.15,280.15,0.010714290382421405,10800.0,0.0,,,,,,,,,,,,294.15000808502725,303.15,288.15,0.010714608973977637,0.05,0.0,,,,,,,,,,,,
"(2700.0, 10990.192378864669)",,,,,,,,,,,,,,,,,,,294.14999940454067,303.15,288.15,,,,0.0,8.718447055701545e-06,inf,inf,-inf,-inf,294.14999940454067,0.15000451925557334,inf,inf,-inf,-inf
"(2700.0, 11509.807621135331)",,,,,,,,,,,,,,,,,,,294.1499765577935,303.15,288.15,,,,0.0,7.353323048361131e-06,inf,inf,-inf,-inf,294.1499765577935,0.15000427446161074,inf,inf,-inf,-inf
"(2700.0, 11700.0)",150.0,294.15,292.15,280.15,0.010714290381441916,11700.0,0.0,,,,,,,,,,,,294.14996851329994,303.15,288.15,0.010714178044961263,0.05,0.0,,,,,,,,,,,,
"(2700.0, 11890.192378864669)",,,,,,,,,,,,,,,,,,,294.1499719851559,303.15,288.15,,,,0.0,7.268766098053768e-06,inf,inf,-inf,-inf,294.1499719851559,0.14999819247343024,inf,inf,-inf,-inf
"(2700.0, 12409.807621135331)",,,,,,,,,,,,,,,,,,,294.149981122977,303.15,288.15,,,,0.0,7.464185874480861e-06,inf,inf,-inf,-inf,294.149981122977,0.14999829037767276,inf,inf,-inf,-inf
"(2700.0, 12600.0)",150.0,294.15,292.15,280.15,0.01071429038170479,12600.0,0.0,,,,,,,,,,,,294.14998434047,303.15,288.15,0.010714329270174487,0.05,0.0,,,,,,,,,,,,
"(2700.0, 12790.192378864669)",,,,,,,,,,,,,,,,,,,294.149983508604,303.15,288.15,,,,0.0,7.536984538467599e-06,inf,inf,-inf,-inf,294.149983508604,0.15000043308819608,inf,inf,-inf,-inf
"(2700.0, 13309.807621135331)",,,,,,,,,,,,,,,,,,,294.14998131915877,303.15,288.15,,,,0.0,7.469726806330697e-06,inf,inf,-inf,-inf,294.14998131915877,0.15000040962975922,inf,inf,-inf,-inf
"(2700.0, 13500.0)",150.0,294.15,292.15,280.15,0.01071429038163442,13500.0,0.0,,,,,,,,,,,,294.1499805482393,303.15,288.15,0.010714291880931145,0.05,0.0,,,,,,,,,,,,
"(2700.0, 13690.192378864669)",,,,,,,,,,,,,,,,,,,294.1499807779972,303.15,288.15,,,,0.0,7.454618902586715e-06,inf,inf,-inf,-inf,294.1499807779972,0.1499998803828878,inf,inf,-inf,-inf
"(2700.0, 14209.807621135331)",,,,,,,,,,,,,,,,,,,294.149981382713,303.15,288.15,,,,0.0,7.471537750114516e-06,inf,inf,-inf,-inf,294.149981382713,0.14999988686198912,inf,inf,-inf,-inf
"(2700.0, 14400.0)",150.0,294.15,292.15,280.15,0.010714290381651436,14400.0,0.0,,,,,,,,,,,,294.1499815956373,303.15,288.15,0.010714302115065999,0.05,0.0,,,,,,,,,,,,
"(2700.0, 14590.192378864669)",,,,,,,,,,,,,,,,,,,294.14998153461954,303.15,288.15,,,,0.0,7.475898257129246e-06,inf,inf,-inf,-inf,294.14998153461954,0.15000003176725935,inf,inf,-inf,-inf
"(2700.0, 15109.807621135331)",,,,,,,,,,,,,,,,,,,294.1499813740227,303.15,288.15,,,,0.0,7.471289660373453e-06,inf,inf,-inf,-inf,294.1499813740227,0.15000003004657617,inf,inf,-inf,-inf
"(2700.0, 15300.0)",150.0,294.15,292.15,280.15,0.010714290381647456,15300.0,0.0,,,,,,,,,,,,294.14998131747507,303.15,288.15,0.010714299390685814,0.05,0.0,,,,,,,,,,,,
"(2700.0, 15490.192378864669)",,,,,,,,,,,,,,,,,,,294.14998133384995,303.15,288.15,,,,0.0,7.470144726000006e-06,inf,inf,-inf,-inf,294.14998133384995,0.1499999914748815,inf,inf,-inf,-inf
"(2700.0, 16009.807621135331)",,,,,,,,,,,,,,,,,,,294.14998137694823,303.15,288.15,,,,0.0,7.471373162605856e-06,inf,inf,-inf,-inf,294.14998137694823,0.14999999193664973,inf,inf,-inf,-inf
"(2700.0, 16200.0)",150.0,294.15,292.15,280.15,0.010714290381649455,16200.0,0.0,,,,,,,,,,,,294.14998139212315,303.15,288.15,0.01071430012133875,0.05,0.0,,,,,,,,,,,,
"(2700.0, 16390.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813877411,303.15,288.15,,,,0.0,7.471681358577333e-06,inf,inf,-inf,-inf,294.1499813877411,0.15000000228141508,inf,inf,-inf,-inf
"(2700.0, 16909.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813762078,303.15,288.15,,,,0.0,7.471352026471406e-06,inf,inf,-inf,-inf,294.1499813762078,0.15000000215784356,inf,inf,-inf,-inf
"(2700.0, 17100.0)",150.0,294.15,292.15,280.15,0.01071429038164891,17100.0,0.0,,,,,,,,,,,,294.14998137214644,303.15,288.15,0.010714299925774844,0.05,0.0,,,,,,,,,,,,
"(2700.0, 17290.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813733201,303.15,288.15,,,,0.0,7.4712696091869835e-06,inf,inf,-inf,-inf,294.1499813733201,0.14999999938901282,inf,inf,-inf,-inf
"(2700.0, 17809.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137640913,303.15,288.15,,,,0.0,7.471357773620823e-06,inf,inf,-inf,-inf,294.14998137640913,0.1499999994221097,inf,inf,-inf,-inf
"(2700.0, 18000.0)",150.0,294.15,292.15,280.15,0.010714290381649045,18000.0,0.0,,,,,,,,,,,,294.14998137749643,303.15,288.15,0.010714299978146866,0.05,0.0,,,,,,,,,,,,
"(2700.0, 18190.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137718226,303.15,288.15,,,,0.0,7.4713798428665415e-06,inf,inf,-inf,-inf,294.14998137718226,0.15000000016360057,inf,inf,-inf,-inf
"(2700.0, 18709.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763554,303.15,288.15,,,,0.0,7.471356240937083e-06,inf,inf,-inf,-inf,294.1499813763554,0.15000000015474171,inf,inf,-inf,-inf
"(2700.0, 18900.0)",150.0,294.15,292.15,280.15,0.01071429038164913,18900.0,0.0,,,,,,,,,,,,294.1499813760639,303.15,288.15,0.010714299964123243,0.05,0.0,,,,,,,,,,,,
"(2700.0, 19090.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813761481,303.15,288.15,,,,0.0,7.471350323805888e-06,inf,inf,-inf,-inf,294.1499813761481,0.14999999995619026,inf,inf,-inf,-inf
"(2700.0, 19609.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137636985,303.15,288.15,,,,0.0,7.47135665319993e-06,inf,inf,-inf,-inf,294.14998137636985,0.14999999995856586,inf,inf,-inf,-inf
"(2700.0, 19800.0)",150.0,294.15,292.15,280.15,0.010714290381649122,19800.0,0.0,,,,,,,,,,,,294.1499813764475,303.15,288.15,0.0107142999678784,0.05,0.0,,,,,,,,,,,,
"(2700.0, 19990.192378864667)",,,,,,,,,,,,,,,,,,,294.149981376425,303.15,288.15,,,,0.0,7.4713582269537405e-06,inf,inf,-inf,-inf,294.149981376425,0.15000000001172886,inf,inf,-inf,-inf
"(2700.0, 20509.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137636593,303.15,288.15,,,,0.0,7.471356541768875e-06,inf,inf,-inf,-inf,294.14998137636593,0.15000000001109612,inf,inf,-inf,-inf
"(2700.0, 20700.0)",150.0,294.15,292.15,280.15,0.010714290381649068,20700.0,0.0,,,,,,,,,,,,294.14998137634484,303.15,288.15,0.010714299966873054,0.05,0.0,,,,,,,,,,,,
"(2700.0, 20890.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763509,303.15,288.15,,,,0.0,7.4713561121618445e-06,inf,inf,-inf,-inf,294.1499813763509,0.14999999999686037,inf,inf,-inf,-inf
"(2700.0, 21409.807621135333)",,,,,,,,,,,,,,,,,,,294.149981376367,303.15,288.15,,,,0.0,7.471356571424241e-06,inf,inf,-inf,-inf,294.149981376367,0.14999999999703273,inf,inf,-inf,-inf
"(2700.0, 21600.0)",150.0,294.15,292.15,280.15,0.010714290381649083,21600.0,0.0,,,,,,,,,,,,294.1499813763723,303.15,288.15,0.010714299967141419,0.05,0.0,,,,,,,,,,,,
"(2700.0, 21790.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137637076,303.15,288.15,,,,0.0,7.471356678179176e-06,inf,inf,-inf,-inf,294.14998137637076,0.15000000000082997,inf,inf,-inf,-inf
"(2700.0, 22309.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763667,303.15,288.15,,,,0.0,7.471356563650268e-06,inf,inf,-inf,-inf,294.1499813763667,0.15000000000078703,inf,inf,-inf,-inf
"(2700.0, 22500.0)",150.0,294.15,292.15,280.15,0.010714290381649075,22500.0,0.0,,,,,,,,,,,,294.14998137636496,303.15,288.15,0.010714299967069615,0.05,0.0,,,,,,,,,,,,
"(2700.0, 22690.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763654,303.15,288.15,,,,0.0,7.47135652665868e-06,inf,inf,-inf,-inf,294.1499813763654,0.14999999999976768,inf,inf,-inf,-inf
"(2700.0, 23209.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763668,303.15,288.15,,,,0.0,7.471356565197387e-06,inf,inf,-inf,-inf,294.1499813763668,0.1499999999997823,inf,inf,-inf,-inf
"(2700.0, 23400.0)",150.0,294.15,292.15,280.15,0.010714290381649094,23400.0,0.0,,,,,,,,,,,,294.14998137636695,303.15,288.15,0.010714299967089145,0.05,0.0,,,,,,,,,,,,
"(2700.0, 23590.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763669,303.15,288.15,,,,0.0,7.4713565677179865e-06,inf,inf,-inf,-inf,294.1499813763669,0.15000000000005664,inf,inf,-inf,-inf
"(2700.0, 24109.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763668,303.15,288.15,,,,0.0,7.471356564964221e-06,inf,inf,-inf,-inf,294.1499813763668,0.15000000000005567,inf,inf,-inf,-inf
"(2700.0, 24300.0)",150.0,294.15,292.15,280.15,0.010714290381649028,24300.0,0.0,,,,,,,,,,,,294.14998137636644,303.15,288.15,0.01071429996708491,0.05,0.0,,,,,,,,,,,,
"(2700.0, 24490.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763665,303.15,288.15,,,,0.0,7.471356556394279e-06,inf,inf,-inf,-inf,294.1499813763665,0.14999999999999322,inf,inf,-inf,-inf
"(2700.0, 25009.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763668,303.15,288.15,,,,0.0,7.471356565056496e-06,inf,inf,-inf,-inf,294.1499813763668,0.1499999999999964,inf,inf,-inf,-inf
"(2700.0, 25200.0)",150.0,294.15,292.15,280.15,0.010714290381649318,25200.0,0.0,,,,,,,,,,,,294.14998137636655,303.15,288.15,0.01071429996708557,0.05,0.0,,,,,,,,,,,,
"(2700.0, 25390.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763666,303.15,288.15,,,,0.0,7.471356559350773e-06,inf,inf,-inf,-inf,294.1499813763666,0.15000000000000352,inf,inf,-inf,-inf
"(2700.0, 25909.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137636684,303.15,288.15,,,,0.0,7.471356565560937e-06,inf,inf,-inf,-inf,294.14998137636684,0.1500000000000058,inf,inf,-inf,-inf
"(2700.0, 26100.0)",150.0,294.15,292.15,280.15,0.010714290381648747,26100.0,0.0,,,,,,,,,,,,294.1499813763665,303.15,288.15,0.01071429996708523,0.05,0.0,,,,,,,,,,,,
"(2700.0, 26290.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137636655,303.15,288.15,,,,0.0,7.471356558075086e-06,inf,inf,-inf,-inf,294.14998137636655,0.14999999999999833,inf,inf,-inf,-inf
"(2700.0, 26809.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763668,303.15,288.15,,,,0.0,7.4713565652920324e-06,inf,inf,-inf,-inf,294.1499813763668,0.15000000000000097,inf,inf,-inf,-inf
"(2700.0, 27000.0)",150.0,294.15,292.15,280.15,0.010714290381650256,27000.0,0.0,,,,,,,,,,,,294.14998137636655,303.15,288.15,0.010714299967086123,0.05,0.0,,,,,,,,,,,,
"(2700.0, 27190.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763666,303.15,288.15,,,,0.0,7.471356559112465e-06,inf,inf,-inf,-inf,294.1499813763666,0.15000000000001118,inf,inf,-inf,-inf
"(2700.0, 27709.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763667,303.15,288.15,,,,0.0,7.471356563739154e-06,inf,inf,-inf,-inf,294.1499813763667,0.15000000000001287,inf,inf,-inf,-inf
"(2700.0, 27900.0)",150.0,294.15,292.15,280.15,0.010714290381644983,27900.0,0.0,,,,,,,,,,,,294.14998137636644,303.15,288.15,0.01071429996708204,0.05,0.0,,,,,,,,,,,,
"(2700.0, 28090.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137636655,303.15,288.15,,,,0.0,7.471356557957128e-06,inf,inf,-inf,-inf,294.14998137636655,0.14999999999995361,inf,inf,-inf,-inf
"(2700.0, 28609.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137636707,303.15,288.15,,,,0.0,7.4713565731418925e-06,inf,inf,-inf,-inf,294.14998137636707,0.14999999999995917,inf,inf,-inf,-inf
"(2700.0, 28800.0)",150.0,294.15,292.15,280.15,0.010714290381663187,28800.0,0.0,,,,,,,,,,,,294.14998137636695,303.15,288.15,0.010714299967100474,0.05,0.0,,,,,,,,,,,,
"(2700.0, 28990.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137636655,303.15,288.15,,,,0.0,7.471356558441969e-06,inf,inf,-inf,-inf,294.14998137636655,0.15000000000021188,inf,inf,-inf,-inf
"(2700.0, 29509.807621135333)",,,,,,,,,,,,,,,,,,,294.14998137636576,303.15,288.15,,,,0.0,7.47135653567713e-06,inf,inf,-inf,-inf,294.14998137636576,0.15000000000020294,inf,inf,-inf,-inf
"(2700.0, 29700.0)",150.0,294.15,292.15,280.15,0.010714290381594868,29700.0,0.0,,,,,,,,,,,,294.14998137636513,303.15,288.15,0.010714299967031587,0.05,0.0,,,,,,,,,,,,
"(2700.0, 29890.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763666,303.15,288.15,,,,0.0,7.471356559986497e-06,inf,inf,-inf,-inf,294.1499813763666,0.149999999999248,inf,inf,-inf,-inf
"(2700.0, 30409.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763707,303.15,288.15,,,,0.0,7.4713566760510085e-06,inf,inf,-inf,-inf,294.1499813763707,0.14999999999929156,inf,inf,-inf,-inf
"(2700.0, 30600.0)",150.0,294.15,292.15,280.15,0.010714290381851508,30600.0,0.0,,,,,,,,,,,,294.1499813763717,303.15,288.15,0.010714299967287899,0.05,0.0,,,,,,,,,,,,
"(2700.0, 30790.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763663,303.15,288.15,,,,0.0,7.4713565529551695e-06,inf,inf,-inf,-inf,294.1499813763663,0.1500000000028332,inf,inf,-inf,-inf
"(2700.0, 31309.807621135333)",,,,,,,,,,,,,,,,,,,294.1499813763523,303.15,288.15,,,,0.0,7.471356151245104e-06,inf,inf,-inf,-inf,294.1499813763523,0.15000000000268246,inf,inf,-inf,-inf
"(2700.0, 31500.0)",150.0,294.15,292.15,280.15,0.010714290380896425,31500.0,0.0,,,,,,,,,,,,294.14998137634694,303.15,288.15,0.01071429996632944,0.05,0.0,,,,,,,,,,,,
"(2700.0, 31690.192378864667)",,,,,,,,,,,,,,,,,,,294.1499813763673,303.15,288.15,,,,0.0,7.471356579688805e-06,inf,inf,-inf,-inf,294.1499813763673,0.14999999998942518,inf,inf,-inf,-inf
"(2700.0, 32209.807621135333)",,,,,,,,,,,,,,,,,,,294.149981376421,303.15,288.15,,,,0.0,7.471358112942077e-06,inf,inf,-inf,-inf,294.149981376421,0.14999999999000072,inf,inf,-inf,-inf
"(2700.0, 32400.0)",150.0,294.15,292.15,280.15,0.010714290384458902,32400.0,0.0,,,,,,,,,,,,294.1499813764396,303.15,288.15,0.010714299969910265,0.05,0.0,,,,,,,,,,,,
"(2700.0, 32590.192378864667)",,,,,,,,,,,,,,,,,,,294.14998137636377,303.15,288.15,,,,0.0,7.471356478989989e-06,inf,inf,-inf,-inf,294.14998137636377,0.15000000003951872,inf,inf,-inf,-inf
"(2700.0, 33109.80762113533)",,,,,,,,,,,,,,,,,,,294.1499813761642,303.15,288.15,,,,0.0,7.471350782695155e-06,inf,inf,-inf,-inf,294.1499813761642,0.15000000003738062,inf,inf,-inf,-inf
"(2700.0, 33300.0)",150.0,294.15,292.15,280.15,0.010714290371156308,33300.0,0.0,,,,,,,,,,,,294.1499813760936,303.15,288.15,0.010714299956536959,0.05,0.0,,,,,,,,,,,,
"(2700.0, 33490.19237886467)",,,,,,,,,,,,,,,,,,,294.14998137637707,303.15,288.15,,,,0.0,7.471356858759056e-06,inf,inf,-inf,-inf,294.14998137637707,0.14999999985243542,inf,inf,-inf,-inf
"(2700.0, 34009.80762113533)",,,,,,,,,,,,,,,,,,,294.14998137712337,303.15,288.15,,,,0.0,7.471378161042197e-06,inf,inf,-inf,-inf,294.14998137712337,0.14999999986043142,inf,inf,-inf,-inf
"(2700.0, 34200.0)",150.0,294.15,292.15,280.15,0.010714290420837921,34200.0,0.0,,,,,,,,,,,,294.14998137738576,303.15,288.15,0.010714300006482925,0.05,0.0,,,,,,,,,,,,
"(2700.0, 34390.19237886467)",,,,,,,,,,,,,,,,,,,294.1499813763272,303.15,288.15,,,,0.0,7.471355435541597e-06,inf,inf,-inf,-inf,294.1499813763272,0.1500000005511438,inf,inf,-inf,-inf
"(2700.0, 34909.80762113533)",,,,,,,,,,,,,,,,,,,294.14998137354115,303.15,288.15,,,,0.0,7.471275918393575e-06,inf,inf,-inf,-inf,294.14998137354115,0.15000000052129311,inf,inf,-inf,-inf
"(2700.0, 35100.0)",150.0,294.15,292.15,280.15,0.01071429023531486,35100.0,0.0,,,,,,,,,,,,294.1499813725598,303.15,288.15,0.010714299819973797,0.05,0.0,,,,,,,,,,,,
