,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,parameter,variable,upper,lower,variable,upper,lower,variable,variable,upper,upper,lower,lower,variable,variable,variable,upper,upper,upper,lower,lower,lower
,load,T_upper,T_lower,T_in,Time,_P_external,in_provision,rel_start,rel_end,cp,C,s_T,r_mDot,profile_deviation_weight,T,mDot,r_del_u_mDot,T,T,T,mDot,mDot,mDot,t_sim,T_slack,t_sim,T_slack,t_sim,T_slack,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full,T_out,P_el,_mDot_full
"(0, 15109.807621135331)",,,,,,,,,,,,,,,,,,294.1488362329138,303.15,288.15,,,,0.0,8.979321030789896e-05,inf,inf,-inf,-inf,294.1488362329138,0.14999999999225155,0.010715176425541149,inf,inf,inf,-inf,-inf,-inf
"(0, 15300.0)",150.0,294.15,292.15,280.15,15300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329281,303.15,288.15,0.010715176426243441,0.05,0.0,,,,,,,,,,,,,,,
"(0, 15490.192378864669)",,,,,,,,,,,,,,,,,,294.148836232924,303.15,288.15,,,,0.0,8.979321031426944e-05,inf,inf,-inf,-inf,294.148836232924,0.15000000000219127,0.010715176426243441,inf,inf,inf,-inf,-inf,-inf
"(0, 16009.807621135331)",,,,,,,,,,,,,,,,,,294.14883623291314,303.15,288.15,,,,0.0,8.979321030746168e-05,inf,inf,-inf,-inf,294.14883623291314,0.1500000000020752,0.010715176426243441,inf,inf,inf,-inf,-inf,-inf
"(0, 16200.0)",150.0,294.15,292.15,280.15,16200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623290893,303.15,288.15,0.010715176426055172,0.05,0.0,,,,,,,,,,,,,,,
"(0, 16390.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329101,303.15,288.15,,,,0.0,8.979321030556733e-05,inf,inf,-inf,-inf,294.1488362329101,0.14999999999940727,0.010715176426055172,inf,inf,inf,-inf,-inf,-inf
"(0, 16909.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329133,303.15,288.15,,,,0.0,8.979321030756661e-05,inf,inf,-inf,-inf,294.1488362329133,0.14999999999944147,0.010715176426055172,inf,inf,inf,-inf,-inf,-inf
"(0, 17100.0)",150.0,294.15,292.15,280.15,17100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329141,303.15,288.15,0.01071517642610555,0.05,0.0,,,,,,,,,,,,,,,
"(0, 17290.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329138,303.15,288.15,,,,0.0,8.979321030790981e-05,inf,inf,-inf,-inf,294.1488362329138,0.15000000000015248,0.01071517642610555,inf,inf,inf,-inf,-inf,-inf
"(0, 17809.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329133,303.15,288.15,,,,0.0,8.979321030755055e-05,inf,inf,-inf,-inf,294.1488362329133,0.15000000000014643,0.01071517642610555,inf,inf,inf,-inf,-inf,-inf
"(0, 18000.0)",150.0,294.15,292.15,280.15,18000.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329127,303.15,288.15,0.010715176426092621,0.05,0.0,,,,,,,,,,,,,,,
"(0, 18190.192378864667)",,,,,,,,,,,,,,,,,,294.14883623291286,303.15,288.15,,,,0.0,8.979321030727001e-05,inf,inf,-inf,-inf,294.14883623291286,0.14999999999996055,0.010715176426092621,inf,inf,inf,-inf,-inf,-inf
"(0, 18709.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.979321030754251e-05,inf,inf,-inf,-inf,294.14883623291325,0.1499999999999653,0.010715176426092621,inf,inf,inf,-inf,-inf,-inf
"(0, 18900.0)",150.0,294.15,292.15,280.15,18900.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329131,303.15,288.15,0.01071517642609646,0.05,0.0,,,,,,,,,,,,,,,
"(0, 19090.192378864667)",,,,,,,,,,,,,,,,,,294.14883623291314,303.15,288.15,,,,0.0,8.979321030745503e-05,inf,inf,-inf,-inf,294.14883623291314,0.15000000000001745,0.01071517642609646,inf,inf,inf,-inf,-inf,-inf
"(0, 19609.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329133,303.15,288.15,,,,0.0,8.97932103075543e-05,inf,inf,-inf,-inf,294.1488362329133,0.15000000000001926,0.01071517642609646,inf,inf,inf,-inf,-inf,-inf
"(0, 19800.0)",150.0,294.15,292.15,280.15,19800.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623291297,303.15,288.15,0.010715176426095381,0.05,0.0,,,,,,,,,,,,,,,
"(0, 19990.192378864667)",,,,,,,,,,,,,,,,,,294.148836232913,303.15,288.15,,,,0.0,8.979321030739498e-05,inf,inf,-inf,-inf,294.148836232913,0.15000000000000133,0.010715176426095381,inf,inf,inf,-inf,-inf,-inf
"(0, 20509.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.979321030753885e-05,inf,inf,-inf,-inf,294.14883623291325,0.15000000000000385,0.010715176426095381,inf,inf,inf,-inf,-inf,-inf
"(0, 20700.0)",150.0,294.15,292.15,280.15,20700.0,0.0,0.0,0.0,0.0,,,,,,,,,294.148836232913,303.15,288.15,0.01071517642609505,0.05,0.0,,,,,,,,,,,,,,,
"(0, 20890.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329131,303.15,288.15,,,,0.0,8.979321030742528e-05,inf,inf,-inf,-inf,294.1488362329131,0.14999999999999722,0.01071517642609505,inf,inf,inf,-inf,-inf,-inf
"(0, 21409.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.979321030754797e-05,inf,inf,-inf,-inf,294.14883623291325,0.14999999999999938,0.01071517642609505,inf,inf,inf,-inf,-inf,-inf
"(0, 21600.0)",150.0,294.15,292.15,280.15,21600.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623291297,303.15,288.15,0.010715176426094642,0.05,0.0,,,,,,,,,,,,,,,
"(0, 21790.192378864667)",,,,,,,,,,,,,,,,,,294.148836232913,303.15,288.15,,,,0.0,8.979321030740728e-05,inf,inf,-inf,-inf,294.148836232913,0.1499999999999912,0.010715176426094642,inf,inf,inf,-inf,-inf,-inf
"(0, 22309.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.979321030754816e-05,inf,inf,-inf,-inf,294.14883623291325,0.14999999999999367,0.010715176426094642,inf,inf,inf,-inf,-inf,-inf
"(0, 22500.0)",150.0,294.15,292.15,280.15,22500.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623291297,303.15,288.15,0.010715176426094753,0.05,0.0,,,,,,,,,,,,,,,
"(0, 22690.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329131,303.15,288.15,,,,0.0,8.979321030741216e-05,inf,inf,-inf,-inf,294.1488362329131,0.1499999999999928,0.010715176426094753,inf,inf,inf,-inf,-inf,-inf
"(0, 23209.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.979321030754811e-05,inf,inf,-inf,-inf,294.14883623291325,0.14999999999999522,0.010715176426094753,inf,inf,inf,-inf,-inf,-inf
"(0, 23400.0)",150.0,294.15,292.15,280.15,23400.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623291297,303.15,288.15,0.010715176426094935,0.05,0.0,,,,,,,,,,,,,,,
"(0, 23590.192378864667)",,,,,,,,,,,,,,,,,,294.1488362329131,303.15,288.15,,,,0.0,8.979321030741277e-05,inf,inf,-inf,-inf,294.1488362329131,0.1499999999999954,0.010715176426094935,inf,inf,inf,-inf,-inf,-inf
"(0, 24109.807621135333)",,,,,,,,,,,,,,,,,,294.14883623291325,303.15,288.15,,,,0.0,8.97932103075408e-05,inf,inf,-inf,-inf,294.14883623291325,0.14999999999999764,0.010715176426094935,inf,inf,inf,-inf,-inf,-inf
"(0, 24300.0)",150.0,294.15,292.15,280.15,24300.0,0.0,0.0,0.0,0.0,,,,,,,,,294.14883623291297,303.15,288.15,0.010715176426093884,0.05,0.0,,,,,,,,,,,,,,,
"(0, 24490.192378864667)",,,,,,,,,,,,,,,,,,294.148836232913,303.15,288.15,,,,0.0,8.979321030740936e-05,inf,inf,-inf,-inf,294.148836232913,0.1499999999999806,0.010715176426093884,inf,inf,inf,-inf,-inf,-inf
"(0, 25009.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329133,303.15,288.15,,,,0.0,8.979321030758181e-05,inf,inf,-inf,-inf,294.1488362329133,0.1499999999999837,0.010715176426093884,inf,inf,inf,-inf,-inf,-inf
"(0, 25200.0)",150.0,294.15,292.15,280.15,25200.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329131,303.15,288.15,0.010715176426097947,0.05,0.0,,,,,,,,,,,,,,,
"(0, 25390.192378864667)",,,,,,,,,,,,,,,,,,294.148836232913,303.15,288.15,,,,0.0,8.979321030741014e-05,inf,inf,-inf,-inf,294.148836232913,0.1500000000000375,0.010715176426097947,inf,inf,inf,-inf,-inf,-inf
"(0, 25909.807621135333)",,,,,,,,,,,,,,,,,,294.1488362329131,303.15,288.15,,,,0.0,8.979321030742147e-05,inf,inf,-inf,-inf,294.1488362329131,0.15000000000003766,0.010715176426097947,inf,inf,inf,-inf,-inf,-inf
"(0, 26100.0)",150.0,294.15,292.15,280.15,26100.0,0.0,0.0,0.0,0.0,,,,,,,,,294.1488362329127,303.15,288.15,0.010715176426083824,0.05,0.0,,,,,,,,,,,,,,,
